EPNUM,RTYPE,GQTYPE,RELSHIP,QSEX,QAGE,CENHISP,CENRACE,LIVE_ALONE,NUMRACE,PGQSHRT,GQTYPE_PL,VOTING_AGE,TABBLKST,TABBLKCOU,TABTRACTCE,TABBLK,TABBLKGRPCE,AIANNHCE,AIANNHFP,AIANNHNS,AIHHTLI,ANRCFP,ANRCNS,AREALAND,AREAWATER,AREAWATERCSTL,AREAWATERGRLK,AREAWATERINLD,AREAWATERTSEA,CBSAFP,CD116FP,CNECTAFP,CONCITFP,CONCITNS,COUNTYFS,COUNTYNS,COUSUBFP,COUSUBFS,COUSUBNS,CSAFP,DIVISIONCE,ESTATEFP,ESTATENS,INTPTLAT,INTPTLON,LWBLKTYP,MEMI,METDIVFP,NECTADIVFP,NECTAFP,NMEMI,PCICBSA,PCINECTA,PLACEFP,PLACEFS,PLACENS,PUMA,REGIONCE,SDELMLEA,SDSECLEA,SDUNILEA,SLDLST,SLDUST,STATENS,SUBMCDFP,SUBMCDNS,TBLKGRPCE,TRIBALSUBCE,TRIBALSUBFP,TRIBALSUBNS,TTRACTCE,UACE,UATYP,UGACE,UR,VTDST,ZCTA5CE
281,3,000,25,1,0,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
282,3,000,25,1,0,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
283,3,000,25,1,0,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
284,3,000,25,1,0,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
285,3,000,25,1,5,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
286,3,000,25,1,5,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
287,3,000,25,1,5,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
288,3,000,25,1,5,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
289,3,000,25,1,5,1,01,2,1,0,0,1,17,163,503800,1056,1,9999,99999,99999999,9,99999,99999999,51194,0,0,0,0,0,41180,12,999,99999,99999999,A,01784987,69550,A,00429746,476,3,99999,99999999,+38.5423019,-089.8743901,L,1,99999,99999,99999,9,N,N,68328,S,02393227,16302,2,99999,99999,24940,114,057,01779784,99999,99999999,9,999,99999,99999999,999999,77770,U,99999,U,000SV1,62225
290,3,000,20,2,62,1,01,1,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
291,3,000,20,2,72,1,01,1,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
292,3,000,20,2,75,1,01,1,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
293,3,000,20,2,76,1,01,1,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
294,3,000,20,2,76,1,01,1,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
295,3,000,20,1,34,1,01,2,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
296,3,000,20,1,66,1,01,2,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
297,3,000,20,1,67,1,01,2,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
298,3,000,20,2,25,1,01,2,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
299,3,000,25,2,18,1,01,2,1,0,0,2,19,171,290300,2070,2,9999,99999,99999999,9,99999,99999999,15367,0,0,0,0,0,99999,01,999,99999,99999999,A,00465274,93972,G,00468738,999,4,99999,99999999,+42.1818539,-092.7176296,L,9,99999,99999,99999,9,N,N,31035,A,02394905,01200,2,99999,99999,12660,072,036,01779785,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,171009,50635
300,3,000,33,2,9,2,01,2,1,0,0,1,20,095,961100,2036,2,9999,99999,99999999,9,99999,99999999,732562,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7113135,-097.9881516,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
301,3,000,21,2,76,1,01,2,1,0,0,2,20,095,961100,2037,2,9999,99999,99999999,9,99999,99999999,1851608,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7123190,-097.9792203,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67570
302,3,000,20,2,18,1,01,1,1,0,0,2,20,095,961100,2042,2,9999,99999,99999999,9,99999,99999999,2194395,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7052349,-097.9985036,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
303,3,000,20,1,41,1,01,2,1,0,0,2,20,095,961100,2042,2,9999,99999,99999999,9,99999,99999999,2194395,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7052349,-097.9985036,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
304,3,000,20,1,41,1,01,2,1,0,0,2,20,095,961100,2042,2,9999,99999,99999999,9,99999,99999999,2194395,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7052349,-097.9985036,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
305,3,000,20,2,32,1,01,2,1,0,0,2,20,095,961100,2042,2,9999,99999,99999999,9,99999,99999999,2194395,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.7052349,-097.9985036,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
306,3,000,20,1,54,1,01,1,1,0,0,2,20,095,961100,2051,2,9999,99999,99999999,9,99999,99999999,1648112,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.6955717,-098.0017992,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
307,3,000,21,2,51,1,01,2,1,0,0,2,20,095,961100,2051,2,9999,99999,99999999,9,99999,99999999,1648112,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.6955717,-098.0017992,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
308,3,000,21,2,51,1,01,2,1,0,0,2,20,095,961100,2051,2,9999,99999,99999999,9,99999,99999999,1648112,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.6955717,-098.0017992,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
309,3,000,21,2,54,1,01,2,1,0,0,2,20,095,961100,2051,2,9999,99999,99999999,9,99999,99999999,1648112,0,0,0,0,0,99999,04,999,99999,99999999,A,00485012,25125,A,00473966,999,4,99999,99999999,+37.6955717,-098.0017992,L,9,99999,99999,99999,9,9,9,99999,9,99999999,01701,2,99999,99999,10920,114,034,00481813,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000110,67068
310,3,000,21,2,44,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
311,3,000,21,2,44,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
312,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
313,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
314,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
315,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
316,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
317,3,000,21,2,60,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
318,3,000,22,2,24,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
319,3,000,22,2,24,1,01,2,1,0,0,2,21,229,930201,3016,3,9999,99999,99999999,9,99999,99999999,50631,0,0,0,0,0,99999,02,999,99999,99999999,A,00516961,93328,S,01937272,999,6,99999,99999999,+37.6865808,-085.2265373,L,9,99999,99999,99999,9,N,N,72660,A,02405510,01200,3,99999,99999,05760,055,022,01779786,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,00E101,40069
320,3,000,21,2,64,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
321,3,000,21,2,64,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
322,3,000,21,2,64,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
323,3,000,21,2,64,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
324,3,000,22,1,42,1,01,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
325,3,000,22,1,51,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
326,3,000,22,1,60,1,02,2,1,0,0,2,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
327,3,000,25,1,2,1,02,2,1,0,0,1,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
328,3,000,25,1,2,1,02,2,1,0,0,1,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
329,3,000,25,1,2,1,02,2,1,0,0,1,22,009,030702,1033,1,9999,99999,99999999,9,99999,99999999,252453,0,0,0,0,0,99999,05,999,99999,99999999,A,00558424,94771,N,01930062,999,7,99999,99999999,+30.9925978,-092.0468625,L,9,99999,99999,99999,9,N,N,17880,A,02406320,00600,3,99999,99999,00150,028,028,01629543,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,009-1A,71327
330,3,000,20,2,72,1,02,1,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
331,3,000,20,1,24,1,02,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
332,3,000,20,1,24,1,02,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
333,3,000,20,1,24,1,02,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
334,3,000,20,1,24,1,02,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
335,3,000,20,1,24,1,02,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
336,3,000,20,1,31,1,01,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
337,3,000,20,1,33,1,01,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
338,3,000,20,1,33,1,01,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
339,3,000,20,1,33,1,01,2,1,0,0,2,22,033,001103,2008,2,9999,99999,99999999,9,99999,99999999,106561,0,0,0,0,0,12940,02,999,99999,99999999,B,00558530,94972,N,01930130,999,7,99999,99999999,+30.4571927,-091.1385554,L,1,99999,99999,99999,9,Y,N,05000,B,02403821,01502,3,99999,99999,00540,061,014,01629543,99999,99999999,9,999,99999,99999999,999999,05680,U,99999,U,001-36,70806
340,3,000,25,2,6,1,04,2,1,0,0,1,22,071,004800,2003,2,9999,99999,99999999,9,99999,99999999,10022,0,0,0,0,0,35380,02,999,99999,99999999,C,00558113,98000,F,00545142,406,7,99999,99999999,+29.9610588,-090.0739195,L,1,99999,99999,99999,9,Y,N,55000,A,00545142,02402,3,99999,99999,01170,093,004,01629543,99999,99999999,9,999,99999,99999999,999999,62677,U,99999,U,0004-2,70112
341,3,000,20,2,30,1,02,1,1,0,0,2,22,071,004800,2004,2,9999,99999,99999999,9,99999,99999999,9910,0,0,0,0,0,35380,02,999,99999,99999999,C,00558113,98000,F,00545142,406,7,99999,99999999,+29.9605316,-090.0731368,L,1,99999,99999,99999,9,Y,N,55000,A,00545142,02402,3,99999,99999,01170,093,004,01629543,99999,99999999,9,999,99999,99999999,999999,62677,U,99999,U,0004-2,70112
342,3,000,20,2,40,1,02,1,1,0,0,2,22,071,004800,2004,2,9999,99999,99999999,9,99999,99999999,9910,0,0,0,0,0,35380,02,999,99999,99999999,C,00558113,98000,F,00545142,406,7,99999,99999999,+29.9605316,-090.0731368,L,1,99999,99999,99999,9,Y,N,55000,A,00545142,02402,3,99999,99999,01170,093,004,01629543,99999,99999999,9,999,99999,99999999,999999,62677,U,99999,U,0004-2,70112
343,3,000,20,2,40,1,02,1,1,0,0,2,22,071,004800,2004,2,9999,99999,99999999,9,99999,99999999,9910,0,0,0,0,0,35380,02,999,99999,99999999,C,00558113,98000,F,00545142,406,7,99999,99999999,+29.9605316,-090.0731368,L,1,99999,99999,99999,9,Y,N,55000,A,00545142,02402,3,99999,99999,01170,093,004,01629543,99999,99999999,9,999,99999,99999999,999999,62677,U,99999,U,0004-2,70112
